date,max_temp,min_temp
2026-07-30,25.0,23.3
2026-07-31,29.4,23.8
2026-08-01,30.3,24.0
2026-08-02,30.6,23.5
2026-08-03,30.6,23.2
2026-08-04,28.8,23.2
2026-08-05,29.9,23.6
2026-08-06,29.7,23.2
